phase_1_record_id,source_collection_record_id,priority_rank,priority_tier,blocker_id,evidence_file_type,evidence_key,gap_status,local_public_shell_value,production_evidence_missing,owner_review_lane,builder_flag_path,builder_source_note_path,human_fill_status,accepted_for_blocker_closure,execution_authorized,evidence_collection_authorized,required_human_action
P1-ECP-017,ECP-031,17,missing_production_evidence,tenant_storage_isolation,production_tenant_storage_evidence,security_review_completed,missing_human_production_evidence,False,True,engineering_data_security,evidence_review.security_review_completed,source_notes_by_key.security_review_completed,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-018,ECP-029,18,missing_production_evidence,tenant_storage_isolation,production_tenant_storage_evidence,tenant_authorization_policy_reviewed,missing_human_production_evidence,False,True,engineering_data_security,evidence_review.tenant_authorization_policy_reviewed,source_notes_by_key.tenant_authorization_policy_reviewed,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-019,ECP-030,19,missing_production_evidence,tenant_storage_isolation,production_tenant_storage_evidence,tenant_secret_boundary_reviewed,missing_human_production_evidence,False,True,engineering_data_security,evidence_review.tenant_secret_boundary_reviewed,source_notes_by_key.tenant_secret_boundary_reviewed,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-020,ECP-021,20,local_public_shell_requires_human_approval,tenant_storage_isolation,production_tenant_storage_evidence,cross_tenant_read_denial_tests_passed,local_public_shell_evidence_present_requires_human_production_approval,True,False,engineering_data_security,evidence_review.cross_tenant_read_denial_tests_passed,source_notes_by_key.cross_tenant_read_denial_tests_passed,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-021,ECP-022,21,local_public_shell_requires_human_approval,tenant_storage_isolation,production_tenant_storage_evidence,cross_tenant_write_denial_tests_passed,local_public_shell_evidence_present_requires_human_production_approval,True,False,engineering_data_security,evidence_review.cross_tenant_write_denial_tests_passed,source_notes_by_key.cross_tenant_write_denial_tests_passed,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-022,ECP-033,22,local_public_shell_requires_human_approval,tenant_storage_isolation,production_tenant_storage_evidence,customer_data_processing_non_claim_reviewed,local_public_shell_evidence_present_requires_human_production_approval,True,False,engineering_data_security,evidence_review.customer_data_processing_non_claim_reviewed,source_notes_by_key.customer_data_processing_non_claim_reviewed,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-023,ECP-016,23,local_public_shell_requires_human_approval,tenant_storage_isolation,production_tenant_storage_evidence,production_tenant_data_model_approved,local_public_shell_evidence_present_requires_human_production_approval,True,False,engineering_data_security,evidence_review.production_tenant_data_model_approved,source_notes_by_key.production_tenant_data_model_approved,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-024,ECP-020,24,local_public_shell_requires_human_approval,tenant_storage_isolation,production_tenant_storage_evidence,same_experiment_id_cross_tenant_partition_tests_passed,local_public_shell_evidence_present_requires_human_production_approval,True,False,engineering_data_security,evidence_review.same_experiment_id_cross_tenant_partition_tests_passed,source_notes_by_key.same_experiment_id_cross_tenant_partition_tests_passed,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-025,ECP-026,25,local_public_shell_requires_human_approval,tenant_storage_isolation,production_tenant_storage_evidence,tenant_backup_restore_boundary_approved,local_public_shell_evidence_present_requires_human_production_approval,True,False,engineering_data_security,evidence_review.tenant_backup_restore_boundary_approved,source_notes_by_key.tenant_backup_restore_boundary_approved,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-026,ECP-027,26,local_public_shell_requires_human_approval,tenant_storage_isolation,production_tenant_storage_evidence,tenant_deletion_retention_boundary_approved,local_public_shell_evidence_present_requires_human_production_approval,True,False,engineering_data_security,evidence_review.tenant_deletion_retention_boundary_approved,source_notes_by_key.tenant_deletion_retention_boundary_approved,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-027,ECP-018,27,local_public_shell_requires_human_approval,tenant_storage_isolation,production_tenant_storage_evidence,tenant_query_enforcement_design_reviewed,local_public_shell_evidence_present_requires_human_production_approval,True,False,engineering_data_security,evidence_review.tenant_query_enforcement_design_reviewed,source_notes_by_key.tenant_query_enforcement_design_reviewed,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-028,ECP-025,28,local_public_shell_requires_human_approval,tenant_storage_isolation,production_tenant_storage_evidence,tenant_scoped_audit_metadata_reviewed,local_public_shell_evidence_present_requires_human_production_approval,True,False,engineering_data_security,evidence_review.tenant_scoped_audit_metadata_reviewed,source_notes_by_key.tenant_scoped_audit_metadata_reviewed,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-029,ECP-023,29,local_public_shell_requires_human_approval,tenant_storage_isolation,production_tenant_storage_evidence,tenant_scoped_listing_tests_passed,local_public_shell_evidence_present_requires_human_production_approval,True,False,engineering_data_security,evidence_review.tenant_scoped_listing_tests_passed,source_notes_by_key.tenant_scoped_listing_tests_passed,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-030,ECP-017,30,local_public_shell_requires_human_approval,tenant_storage_isolation,production_tenant_storage_evidence,tenant_scoped_primary_keys_or_partitions_reviewed,local_public_shell_evidence_present_requires_human_production_approval,True,False,engineering_data_security,evidence_review.tenant_scoped_primary_keys_or_partitions_reviewed,source_notes_by_key.tenant_scoped_primary_keys_or_partitions_reviewed,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-031,ECP-024,31,local_public_shell_requires_human_approval,tenant_storage_isolation,production_tenant_storage_evidence,tenant_scoped_report_endpoint_tests_passed,local_public_shell_evidence_present_requires_human_production_approval,True,False,engineering_data_security,evidence_review.tenant_scoped_report_endpoint_tests_passed,source_notes_by_key.tenant_scoped_report_endpoint_tests_passed,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-032,ECP-019,32,local_public_shell_requires_human_approval,tenant_storage_isolation,production_tenant_storage_evidence,tenant_storage_migration_plan_reviewed,local_public_shell_evidence_present_requires_human_production_approval,True,False,engineering_data_security,evidence_review.tenant_storage_migration_plan_reviewed,source_notes_by_key.tenant_storage_migration_plan_reviewed,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
P1-ECP-033,ECP-028,33,local_public_shell_requires_human_approval,tenant_storage_isolation,production_tenant_storage_evidence,tenant_storage_observability_plan_reviewed,local_public_shell_evidence_present_requires_human_production_approval,True,False,engineering_data_security,evidence_review.tenant_storage_observability_plan_reviewed,source_notes_by_key.tenant_storage_observability_plan_reviewed,not_started,False,False,False,"Provide real source evidence and reviewer note, then set the matching builder evidence_review flag only after human approval."
