collection_record_id,phase_number,phase_id,phase_title,source_audit,blocker_id,evidence_file_type,evidence_key,gap_status,local_public_shell_value,production_evidence_missing,accepted_for_blocker_closure,collection_status,allowed_collection_mode,owner_review_lane,external_dependency_required,engineering_implementation_required,human_review_required,manual_collection_required,requires_separate_execution_request,execution_authorized,evidence_collection_authorized,next_human_action,notes
ECP-030,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,tenant_storage_isolation,production_tenant_storage_evidence,tenant_secret_boundary_reviewed,missing_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,engineering_data_security,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-031,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,tenant_storage_isolation,production_tenant_storage_evidence,security_review_completed,missing_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,engineering_data_security,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-032,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,tenant_storage_isolation,production_tenant_storage_evidence,privacy_legal_review_completed,missing_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,engineering_data_security,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-033,1,phase_1_identity_and_tenant_boundary,"Identity, authorization, and tenant boundary",phase_b_product/commercial_readiness/phase_1_identity_tenant_gap_audit/phase_1_identity_tenant_gap_audit.local.json,tenant_storage_isolation,production_tenant_storage_evidence,customer_data_processing_non_claim_reviewed,local_public_shell_evidence_present_requires_human_production_approval,True,False,False,not_started,human_provided_evidence_only,engineering_data_security,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Local public-shell evidence is review input only; human-approved production evidence is still required.
ECP-034,2,phase_2_data_and_operations_resilience,Data recovery and production operations,phase_b_product/commercial_readiness/phase_2_data_operations_gap_audit/phase_2_data_operations_gap_audit.local.json,production_monitoring,production_operations_evidence,production_monitoring_plan_approved,missing_external_or_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,operations_engineering,True,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-035,2,phase_2_data_and_operations_resilience,Data recovery and production operations,phase_b_product/commercial_readiness/phase_2_data_operations_gap_audit/phase_2_data_operations_gap_audit.local.json,production_monitoring,production_operations_evidence,metrics_coverage_approved,missing_external_or_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,operations_engineering,True,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-036,2,phase_2_data_and_operations_resilience,Data recovery and production operations,phase_b_product/commercial_readiness/phase_2_data_operations_gap_audit/phase_2_data_operations_gap_audit.local.json,production_monitoring,production_operations_evidence,slo_dashboard_defined,missing_external_or_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,operations_engineering,True,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-037,2,phase_2_data_and_operations_resilience,Data recovery and production operations,phase_b_product/commercial_readiness/phase_2_data_operations_gap_audit/phase_2_data_operations_gap_audit.local.json,production_monitoring,production_operations_evidence,log_retention_reviewed,missing_external_or_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,operations_engineering,True,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-038,2,phase_2_data_and_operations_resilience,Data recovery and production operations,phase_b_product/commercial_readiness/phase_2_data_operations_gap_audit/phase_2_data_operations_gap_audit.local.json,production_monitoring,production_operations_evidence,monitoring_dry_run_recorded,local_public_shell_evidence_present_requires_human_production_approval,True,False,False,not_started,human_provided_evidence_only,operations_engineering,True,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Local public-shell evidence is review input only; human-approved production evidence is still required.
ECP-039,2,phase_2_data_and_operations_resilience,Data recovery and production operations,phase_b_product/commercial_readiness/phase_2_data_operations_gap_audit/phase_2_data_operations_gap_audit.local.json,external_alert_delivery,production_operations_evidence,external_alert_channel_configured,missing_external_or_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,operations_engineering,True,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-040,2,phase_2_data_and_operations_resilience,Data recovery and production operations,phase_b_product/commercial_readiness/phase_2_data_operations_gap_audit/phase_2_data_operations_gap_audit.local.json,external_alert_delivery,production_operations_evidence,alert_routing_policy_approved,missing_external_or_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,operations_engineering,True,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-041,2,phase_2_data_and_operations_resilience,Data recovery and production operations,phase_b_product/commercial_readiness/phase_2_data_operations_gap_audit/phase_2_data_operations_gap_audit.local.json,external_alert_delivery,production_operations_evidence,alert_delivery_test_recorded,missing_external_or_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,operations_engineering,True,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-042,2,phase_2_data_and_operations_resilience,Data recovery and production operations,phase_b_product/commercial_readiness/phase_2_data_operations_gap_audit/phase_2_data_operations_gap_audit.local.json,external_alert_delivery,production_operations_evidence,alert_failure_handling_defined,missing_external_or_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,operations_engineering,True,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-043,2,phase_2_data_and_operations_resilience,Data recovery and production operations,phase_b_product/commercial_readiness/phase_2_data_operations_gap_audit/phase_2_data_operations_gap_audit.local.json,external_alert_delivery,production_operations_evidence,incident_escalation_path_defined,missing_external_or_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,operations_engineering,True,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-044,2,phase_2_data_and_operations_resilience,Data recovery and production operations,phase_b_product/commercial_readiness/phase_2_data_operations_gap_audit/phase_2_data_operations_gap_audit.local.json,external_alert_delivery,production_operations_evidence,alert_acknowledgement_process_defined,missing_external_or_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,operations_engineering,True,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-045,2,phase_2_data_and_operations_resilience,Data recovery and production operations,phase_b_product/commercial_readiness/phase_2_data_operations_gap_audit/phase_2_data_operations_gap_audit.local.json,on_call_rotation,production_operations_evidence,on_call_rotation_defined,missing_external_or_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,operations_engineering,True,False,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-046,2,phase_2_data_and_operations_resilience,Data recovery and production operations,phase_b_product/commercial_readiness/phase_2_data_operations_gap_audit/phase_2_data_operations_gap_audit.local.json,on_call_rotation,production_operations_evidence,escalation_schedule_defined,missing_external_or_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,operations_engineering,True,False,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-047,2,phase_2_data_and_operations_resilience,Data recovery and production operations,phase_b_product/commercial_readiness/phase_2_data_operations_gap_audit/phase_2_data_operations_gap_audit.local.json,on_call_rotation,production_operations_evidence,incident_commander_named,missing_external_or_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,operations_engineering,True,False,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-048,2,phase_2_data_and_operations_resilience,Data recovery and production operations,phase_b_product/commercial_readiness/phase_2_data_operations_gap_audit/phase_2_data_operations_gap_audit.local.json,restore_tested,production_data_operations_evidence,production_like_restore_test_plan_approved,local_public_shell_evidence_present_requires_human_production_approval,True,False,False,not_started,human_provided_evidence_only,data_operations,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Local public-shell evidence is review input only; human-approved production evidence is still required.
ECP-049,2,phase_2_data_and_operations_resilience,Data recovery and production operations,phase_b_product/commercial_readiness/phase_2_data_operations_gap_audit/phase_2_data_operations_gap_audit.local.json,restore_tested,production_data_operations_evidence,isolated_restore_environment_used,local_public_shell_evidence_present_requires_human_production_approval,True,False,False,not_started,human_provided_evidence_only,data_operations,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Local public-shell evidence is review input only; human-approved production evidence is still required.
ECP-050,2,phase_2_data_and_operations_resilience,Data recovery and production operations,phase_b_product/commercial_readiness/phase_2_data_operations_gap_audit/phase_2_data_operations_gap_audit.local.json,restore_tested,production_data_operations_evidence,restore_integrity_checks_passed,local_public_shell_evidence_present_requires_human_production_approval,True,False,False,not_started,human_provided_evidence_only,data_operations,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Local public-shell evidence is review input only; human-approved production evidence is still required.
ECP-051,2,phase_2_data_and_operations_resilience,Data recovery and production operations,phase_b_product/commercial_readiness/phase_2_data_operations_gap_audit/phase_2_data_operations_gap_audit.local.json,restore_tested,production_data_operations_evidence,rto_rpo_observed_and_recorded,local_public_shell_evidence_present_requires_human_production_approval,True,False,False,not_started,human_provided_evidence_only,data_operations,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Local public-shell evidence is review input only; human-approved production evidence is still required.
ECP-052,2,phase_2_data_and_operations_resilience,Data recovery and production operations,phase_b_product/commercial_readiness/phase_2_data_operations_gap_audit/phase_2_data_operations_gap_audit.local.json,restore_tested,production_data_operations_evidence,tenant_scope_validated_if_customer_data_exists,local_public_shell_evidence_present_requires_human_production_approval,True,False,False,not_started,human_provided_evidence_only,data_operations,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Local public-shell evidence is review input only; human-approved production evidence is still required.
ECP-053,2,phase_2_data_and_operations_resilience,Data recovery and production operations,phase_b_product/commercial_readiness/phase_2_data_operations_gap_audit/phase_2_data_operations_gap_audit.local.json,restore_tested,production_data_operations_evidence,restore_test_report_reviewed,local_public_shell_evidence_present_requires_human_production_approval,True,False,False,not_started,human_provided_evidence_only,data_operations,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Local public-shell evidence is review input only; human-approved production evidence is still required.
ECP-054,2,phase_2_data_and_operations_resilience,Data recovery and production operations,phase_b_product/commercial_readiness/phase_2_data_operations_gap_audit/phase_2_data_operations_gap_audit.local.json,production_restore_policy,production_data_operations_evidence,production_restore_policy_approved,missing_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,data_operations,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-055,2,phase_2_data_and_operations_resilience,Data recovery and production operations,phase_b_product/commercial_readiness/phase_2_data_operations_gap_audit/phase_2_data_operations_gap_audit.local.json,production_restore_policy,production_data_operations_evidence,backup_retention_policy_approved,missing_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,data_operations,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-056,2,phase_2_data_and_operations_resilience,Data recovery and production operations,phase_b_product/commercial_readiness/phase_2_data_operations_gap_audit/phase_2_data_operations_gap_audit.local.json,production_restore_policy,production_data_operations_evidence,tenant_restore_boundary_approved,missing_human_production_evidence,False,True,False,not_started,human_provided_evidence_only,data_operations,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Production evidence is missing and must be supplied by a human owner.
ECP-057,2,phase_2_data_and_operations_resilience,Data recovery and production operations,phase_b_product/commercial_readiness/phase_2_data_operations_gap_audit/phase_2_data_operations_gap_audit.local.json,production_restore_policy,production_data_operations_evidence,credential_secret_exclusion_reviewed,local_public_shell_evidence_present_requires_human_production_approval,True,False,False,not_started,human_provided_evidence_only,data_operations,False,True,True,True,True,False,False,Open a separate evidence task only after dependencies are satisfied and human approval is explicit.,Local public-shell evidence is review input only; human-approved production evidence is still required.
