blocker_id,category,status,owner_review_lane,evidence_gap_type,local_evidence_path,local_evidence_ready,local_completion_checks_passed,local_completion_checks_total,external_dependency_required,engineering_implementation_required,closure_allowed_by_matrix,human_approval_required,requires_separate_execution_request,required_evidence
formal_security_review,privacy_security,open,security_legal_privacy,formal_security_privacy_legal_evidence_gap,phase_b_product/commercial_readiness/privacy_security_legal_evidence/privacy_security_legal_evidence.local.json,False,0,4,True,False,False,True,True,"Completed security review report covering public shell, deployment, data, and access control."
privacy_legal_review,privacy_security,open,security_legal_privacy,formal_security_privacy_legal_evidence_gap,phase_b_product/commercial_readiness/privacy_security_legal_evidence/privacy_security_legal_evidence.local.json,False,0,4,True,False,False,True,True,"Completed legal privacy review for collected data, processors, notices, and retention."
data_processing_agreement,privacy_security,open,security_legal_privacy,formal_security_privacy_legal_evidence_gap,phase_b_product/commercial_readiness/privacy_security_legal_evidence/privacy_security_legal_evidence.local.json,False,0,4,True,False,False,True,True,Approved DPA or equivalent customer data-processing agreement ready for use.
vulnerability_management,privacy_security,open,security_legal_privacy,formal_security_privacy_legal_evidence_gap,phase_b_product/commercial_readiness/privacy_security_legal_evidence/privacy_security_legal_evidence.local.json,False,0,4,True,False,False,True,True,"Vulnerability disclosure policy, triage process, remediation targets, and security contact."
pilot_results,validation,open,customer_validation,real_customer_validation_evidence_gap,phase_b_product/commercial_readiness/customer_validation_evidence/customer_validation_evidence.local.json,False,0,5,True,False,False,True,True,"Recorded pilot sessions, user feedback, failure notes, and permission to use evidence."
customer_validated,validation,open,customer_validation,real_customer_validation_evidence_gap,phase_b_product/commercial_readiness/customer_validation_evidence/customer_validation_evidence.local.json,False,0,5,True,False,False,True,True,Real customer validation evidence reviewed and approved for use in product claims.
pricing_page,billing,open,commercial_finance_legal,commercial_pricing_payment_revenue_evidence_gap,phase_b_product/commercial_readiness/billing_revenue_evidence/billing_revenue_evidence.local.json,False,0,6,True,False,False,True,True,Human-approved public pricing or packaging page with current commercial terms.
payment_provider,billing,open,commercial_finance_legal,commercial_pricing_payment_revenue_evidence_gap,phase_b_product/commercial_readiness/billing_revenue_evidence/billing_revenue_evidence.local.json,False,0,6,True,False,False,True,True,Configured payment provider in the intended environment with checkout disabled until approval.
invoice_process,billing,open,commercial_finance_legal,commercial_pricing_payment_revenue_evidence_gap,phase_b_product/commercial_readiness/billing_revenue_evidence/billing_revenue_evidence.local.json,False,0,6,True,False,False,True,True,"Invoice workflow, contract handoff, bookkeeping process, and payment reconciliation evidence."
tax_review,billing,open,commercial_finance_legal,commercial_pricing_payment_revenue_evidence_gap,phase_b_product/commercial_readiness/billing_revenue_evidence/billing_revenue_evidence.local.json,False,0,6,True,False,False,True,True,"Tax review for target jurisdictions, invoice wording, and payment collection process."
refund_policy,billing,open,commercial_finance_legal,commercial_pricing_payment_revenue_evidence_gap,phase_b_product/commercial_readiness/billing_revenue_evidence/billing_revenue_evidence.local.json,False,0,6,True,False,False,True,True,Human-approved refund/cancellation policy connected to payment and support processes.
tenant_billing_isolation,billing,open,commercial_finance_legal,commercial_pricing_payment_revenue_evidence_gap,phase_b_product/commercial_readiness/billing_revenue_evidence/billing_revenue_evidence.local.json,False,0,6,False,True,False,True,True,"Tenant-aware billing records, invoice partitioning, and payment-event isolation evidence."
restore_tested,data_ops,open,data_operations,production_backup_restore_data_operations_evidence_gap,phase_b_product/commercial_readiness/data_operations_evidence/production_data_operations_evidence.combined_profile.local.json,False,1,2,False,True,False,True,True,"Successful restore test with manifest, scope, non-live path proof, and operator review."
production_restore_policy,data_ops,open,data_operations,production_backup_restore_data_operations_evidence_gap,phase_b_product/commercial_readiness/data_operations_evidence/production_data_operations_evidence.combined_profile.local.json,False,1,2,False,True,False,True,True,Approved production restore policy with RPO/RTO targets and drill cadence.
