owner_packet_id,blocker_id,owner_review_lane,worksheet_row_id,quick_fill_row_id,input_group,input_key,mapping_resolved,owner_value_present,owner_notes_present,source_value_present,would_merge,dry_run_status,raw_value_recorded,owner_value_merged_to_quick_fill,quick_fill_written,workbook_import_performed,validators_run_on_real_input,evidence_collection_authorized,execution_authorized
QFOP-004,production_restore_policy,data_operations,QFW-054,QF-054,policy_evidence_keys_to_review,tenant_restore_boundary_approved,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-005,support_contact,support_operations,QFW-001,QF-001,first_owner_input,assigned_human_owner,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-005,support_contact,support_operations,QFW-002,QF-002,first_owner_input,owner_contact_reference,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-005,support_contact,support_operations,QFW-003,QF-003,first_owner_input,target_review_date,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-005,support_contact,support_operations,QFW-004,QF-004,first_owner_input,owner_acknowledged_scope,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-005,support_contact,support_operations,QFW-005,QF-005,first_owner_input,human_approval_reference,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-005,support_contact,support_operations,QFW-006,QF-006,support_contact_decision_metadata,human_reviewer_name,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-005,support_contact,support_operations,QFW-007,QF-007,support_contact_decision_metadata,review_date,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-005,support_contact,support_operations,QFW-008,QF-008,support_contact_decision_metadata,selected_support_contact_channel,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-005,support_contact,support_operations,QFW-009,QF-009,support_contact_decision_metadata,decision_summary,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-005,support_contact,support_operations,QFW-010,QF-010,support_contact_evidence_review,abuse_handling_path_defined,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-005,support_contact,support_operations,QFW-011,QF-011,support_contact_evidence_review,customer_facing_support_contact_configured,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-005,support_contact,support_operations,QFW-012,QF-012,support_contact_evidence_review,customer_notice_route_defined,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-005,support_contact,support_operations,QFW-013,QF-013,support_contact_evidence_review,support_contact_owner_named,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-005,support_contact,support_operations,QFW-014,QF-014,support_contact_evidence_review,support_contact_test_recorded,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
QFOP-005,support_contact,support_operations,QFW-015,QF-015,support_contact_candidate_slot,support_contact_candidate_a,True,True,True,True,True,would_merge_after_separate_human_approval,False,False,False,False,False,False,False
