blocker_id,evidence_file_type,evidence_key,local_public_shell_value,accepted_for_blocker_closure,gap_status,external_dependency_required,human_review_required,notes
privacy_legal_review,production_privacy_security_legal_evidence,data_inventory_reviewed,True,False,local_public_shell_evidence_present_requires_human_production_approval,True,True,Local evidence is review input only; it does not close the production blocker.
privacy_legal_review,production_privacy_security_legal_evidence,controller_processor_roles_defined,True,False,local_public_shell_evidence_present_requires_human_production_approval,True,True,Local evidence is review input only; it does not close the production blocker.
privacy_legal_review,production_privacy_security_legal_evidence,subprocessor_inventory_reviewed,True,False,local_public_shell_evidence_present_requires_human_production_approval,True,True,Local evidence is review input only; it does not close the production blocker.
privacy_legal_review,production_privacy_security_legal_evidence,retention_policy_approved,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
privacy_legal_review,production_privacy_security_legal_evidence,terms_of_service_approved,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
privacy_legal_review,production_privacy_security_legal_evidence,terms_published,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
privacy_legal_review,production_privacy_security_legal_evidence,breach_notice_terms_approved,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
data_processing_agreement,production_privacy_security_legal_evidence,customer_dpa_template_available,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
data_processing_agreement,production_privacy_security_legal_evidence,dpa_terms_approved,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
data_processing_agreement,production_privacy_security_legal_evidence,subprocessor_terms_approved,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
data_processing_agreement,production_privacy_security_legal_evidence,deletion_or_return_terms_approved,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
data_processing_agreement,production_privacy_security_legal_evidence,customer_data_processing_approved,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
data_processing_agreement,production_privacy_security_legal_evidence,dpa_sent_to_customer,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
vulnerability_management,production_privacy_security_legal_evidence,security_contact_configured,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
vulnerability_management,production_privacy_security_legal_evidence,coordinated_disclosure_policy_approved,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
vulnerability_management,production_privacy_security_legal_evidence,vulnerability_case_dry_run_recorded,True,False,local_public_shell_evidence_present_requires_human_production_approval,True,True,Local evidence is review input only; it does not close the production blocker.
vulnerability_management,production_privacy_security_legal_evidence,triage_owner_named,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
vulnerability_management,production_privacy_security_legal_evidence,severity_model_approved,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
vulnerability_management,production_privacy_security_legal_evidence,remediation_targets_approved,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
vulnerability_management,production_privacy_security_legal_evidence,advisory_publication_policy_approved,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
vulnerability_management,production_privacy_security_legal_evidence,vulnerability_management_operational,False,False,missing_external_or_human_production_evidence,True,True,Production-grade external or human-approved evidence is still missing.
