quick_fill_row_id,blocker_id,owner_review_lane,input_group,input_key,input_kind,required_fields_present,human_value_blank,prompt_path_exists,guidance_row_present,worksheet_row_present,target_mapping_present,ready_for_human_input
QF-029,pricing_page,commercial_finance_legal,pricing_page_keys_to_review,pricing_page_publication_approval_recorded,evidence_review_key,True,True,True,True,True,True,True
QF-030,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,auth_and_tenant_boundary_reviewed,evidence_review_key,True,True,True,True,True,True,True
QF-031,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,dependency_review_completed,evidence_review_key,True,True,True,True,True,True,True
QF-032,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,formal_security_review_report,evidence_review_key,True,True,True,True,True,True,True
QF-033,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,private_core_non_exposure_review_completed,evidence_review_key,True,True,True,True,True,True,True
QF-034,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,public_shell_threat_model_reviewed,evidence_review_key,True,True,True,True,True,True,True
QF-035,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,review_findings_triaged,evidence_review_key,True,True,True,True,True,True,True
QF-036,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,storage_backup_and_restore_reviewed,evidence_review_key,True,True,True,True,True,True,True
QF-037,formal_security_review,security_legal_privacy,metadata_fields_to_fill,human_reviewer_name,metadata_field,True,True,True,True,True,True,True
QF-038,formal_security_review,security_legal_privacy,metadata_fields_to_fill,review_date,metadata_field,True,True,True,True,True,True,True
QF-039,formal_security_review,security_legal_privacy,metadata_fields_to_fill,security_review_owner,metadata_field,True,True,True,True,True,True,True
QF-040,formal_security_review,security_legal_privacy,metadata_fields_to_fill,report_reference,metadata_field,True,True,True,True,True,True,True
QF-041,formal_security_review,security_legal_privacy,metadata_fields_to_fill,decision_summary,metadata_field,True,True,True,True,True,True,True
QF-042,production_restore_policy,data_operations,metadata_fields_to_fill,human_reviewer_name,metadata_field,True,True,True,True,True,True,True
QF-043,production_restore_policy,data_operations,metadata_fields_to_fill,review_date,metadata_field,True,True,True,True,True,True,True
QF-044,production_restore_policy,data_operations,metadata_fields_to_fill,data_operations_owner,metadata_field,True,True,True,True,True,True,True
QF-045,production_restore_policy,data_operations,metadata_fields_to_fill,security_owner,metadata_field,True,True,True,True,True,True,True
QF-046,production_restore_policy,data_operations,metadata_fields_to_fill,privacy_legal_owner,metadata_field,True,True,True,True,True,True,True
QF-047,production_restore_policy,data_operations,metadata_fields_to_fill,incident_response_owner,metadata_field,True,True,True,True,True,True,True
QF-048,production_restore_policy,data_operations,metadata_fields_to_fill,decision_summary,metadata_field,True,True,True,True,True,True,True
QF-049,production_restore_policy,data_operations,policy_evidence_keys_to_review,backup_retention_policy_approved,evidence_review_key,True,True,True,True,True,True,True
QF-050,production_restore_policy,data_operations,policy_evidence_keys_to_review,credential_secret_exclusion_reviewed,evidence_review_key,True,True,True,True,True,True,True
QF-051,production_restore_policy,data_operations,policy_evidence_keys_to_review,customer_notification_boundary_approved,evidence_review_key,True,True,True,True,True,True,True
QF-052,production_restore_policy,data_operations,policy_evidence_keys_to_review,incident_response_handoff_approved,evidence_review_key,True,True,True,True,True,True,True
QF-053,production_restore_policy,data_operations,policy_evidence_keys_to_review,production_restore_policy_approved,evidence_review_key,True,True,True,True,True,True,True
QF-054,production_restore_policy,data_operations,policy_evidence_keys_to_review,tenant_restore_boundary_approved,evidence_review_key,True,True,True,True,True,True,True
QF-055,production_monitoring,operations_engineering,metadata_fields_to_fill,human_reviewer_name,metadata_field,True,True,True,True,True,True,True
QF-056,production_monitoring,operations_engineering,metadata_fields_to_fill,review_date,metadata_field,True,True,True,True,True,True,True
QF-057,production_monitoring,operations_engineering,metadata_fields_to_fill,monitoring_owner,metadata_field,True,True,True,True,True,True,True
QF-058,production_monitoring,operations_engineering,metadata_fields_to_fill,operations_reviewer_name,metadata_field,True,True,True,True,True,True,True
QF-059,production_monitoring,operations_engineering,metadata_fields_to_fill,decision_summary,metadata_field,True,True,True,True,True,True,True
QF-060,production_monitoring,operations_engineering,monitoring_evidence_keys_to_review,log_retention_reviewed,evidence_review_key,True,True,True,True,True,True,True
QF-061,production_monitoring,operations_engineering,monitoring_evidence_keys_to_review,metrics_coverage_approved,evidence_review_key,True,True,True,True,True,True,True
QF-062,production_monitoring,operations_engineering,monitoring_evidence_keys_to_review,monitoring_dry_run_recorded,evidence_review_key,True,True,True,True,True,True,True
QF-063,production_monitoring,operations_engineering,monitoring_evidence_keys_to_review,production_monitoring_plan_approved,evidence_review_key,True,True,True,True,True,True,True
QF-064,production_monitoring,operations_engineering,monitoring_evidence_keys_to_review,slo_dashboard_defined,evidence_review_key,True,True,True,True,True,True,True
