quick_fill_row_id,blocker_id,input_group,input_key,preview_value_present,unsafe_pattern_count,value_source,row_status
QF-028,pricing_page,pricing_page_keys_to_review,production_readiness_non_claim_reviewed,True,0,initial_confirmed_ledger,preview_value_present
QF-029,pricing_page,pricing_page_keys_to_review,pricing_page_publication_approval_recorded,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-030,formal_security_review,formal_security_review_keys_to_review,auth_and_tenant_boundary_reviewed,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-031,formal_security_review,formal_security_review_keys_to_review,dependency_review_completed,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-032,formal_security_review,formal_security_review_keys_to_review,formal_security_review_report,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-033,formal_security_review,formal_security_review_keys_to_review,private_core_non_exposure_review_completed,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-034,formal_security_review,formal_security_review_keys_to_review,public_shell_threat_model_reviewed,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-035,formal_security_review,formal_security_review_keys_to_review,review_findings_triaged,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-036,formal_security_review,formal_security_review_keys_to_review,storage_backup_and_restore_reviewed,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-037,formal_security_review,metadata_fields_to_fill,human_reviewer_name,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-038,formal_security_review,metadata_fields_to_fill,review_date,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-039,formal_security_review,metadata_fields_to_fill,security_review_owner,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-040,formal_security_review,metadata_fields_to_fill,report_reference,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-041,formal_security_review,metadata_fields_to_fill,decision_summary,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-042,production_restore_policy,metadata_fields_to_fill,human_reviewer_name,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-043,production_restore_policy,metadata_fields_to_fill,review_date,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-044,production_restore_policy,metadata_fields_to_fill,data_operations_owner,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-045,production_restore_policy,metadata_fields_to_fill,security_owner,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-046,production_restore_policy,metadata_fields_to_fill,privacy_legal_owner,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-047,production_restore_policy,metadata_fields_to_fill,incident_response_owner,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-048,production_restore_policy,metadata_fields_to_fill,decision_summary,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-049,production_restore_policy,policy_evidence_keys_to_review,backup_retention_policy_approved,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-050,production_restore_policy,policy_evidence_keys_to_review,credential_secret_exclusion_reviewed,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-051,production_restore_policy,policy_evidence_keys_to_review,customer_notification_boundary_approved,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-052,production_restore_policy,policy_evidence_keys_to_review,incident_response_handoff_approved,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-053,production_restore_policy,policy_evidence_keys_to_review,production_restore_policy_approved,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-054,production_restore_policy,policy_evidence_keys_to_review,tenant_restore_boundary_approved,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-055,production_monitoring,metadata_fields_to_fill,human_reviewer_name,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-056,production_monitoring,metadata_fields_to_fill,review_date,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-057,production_monitoring,metadata_fields_to_fill,monitoring_owner,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-058,production_monitoring,metadata_fields_to_fill,operations_reviewer_name,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-059,production_monitoring,metadata_fields_to_fill,decision_summary,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-060,production_monitoring,monitoring_evidence_keys_to_review,log_retention_reviewed,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-061,production_monitoring,monitoring_evidence_keys_to_review,metrics_coverage_approved,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-062,production_monitoring,monitoring_evidence_keys_to_review,monitoring_dry_run_recorded,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-063,production_monitoring,monitoring_evidence_keys_to_review,production_monitoring_plan_approved,True,0,superseding_all_confirmed_values_source,preview_value_present
QF-064,production_monitoring,monitoring_evidence_keys_to_review,slo_dashboard_defined,True,0,superseding_all_confirmed_values_source,preview_value_present
