quick_fill_row_id,workbook_row_id,blocker_id,owner_review_lane,input_group,input_key,input_kind,expected_value_shape,mapping_resolved,target_csv_ok,target_column_ok,human_value_present,import_ready,row_status,value_imported_to_workbook,value_transferred,template_written
QF-029,WB-030,pricing_page,commercial_finance_legal,pricing_page_keys_to_review,pricing_page_publication_approval_recorded,evidence_review_key,human evidence review outcome,True,True,True,True,True,ready_for_apply,False,False,False
QF-030,WB-031,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,auth_and_tenant_boundary_reviewed,evidence_review_key,human evidence review outcome,True,True,True,True,True,ready_for_apply,False,False,False
QF-031,WB-032,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,dependency_review_completed,evidence_review_key,human evidence review outcome,True,True,True,True,True,ready_for_apply,False,False,False
QF-032,WB-033,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,formal_security_review_report,evidence_review_key,human evidence review outcome,True,True,True,True,True,ready_for_apply,False,False,False
QF-033,WB-034,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,private_core_non_exposure_review_completed,evidence_review_key,human evidence review outcome,True,True,True,True,True,ready_for_apply,False,False,False
QF-034,WB-035,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,public_shell_threat_model_reviewed,evidence_review_key,human evidence review outcome,True,True,True,True,True,ready_for_apply,False,False,False
QF-035,WB-036,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,review_findings_triaged,evidence_review_key,human evidence review outcome,True,True,True,True,True,ready_for_apply,False,False,False
QF-036,WB-037,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,storage_backup_and_restore_reviewed,evidence_review_key,human evidence review outcome,True,True,True,True,True,ready_for_apply,False,False,False
QF-037,WB-038,formal_security_review,security_legal_privacy,metadata_fields_to_fill,human_reviewer_name,metadata_field,human-reviewed metadata value,True,True,True,True,True,ready_for_apply,False,False,False
QF-038,WB-039,formal_security_review,security_legal_privacy,metadata_fields_to_fill,review_date,metadata_field,human-reviewed metadata value,True,True,True,True,True,ready_for_apply,False,False,False
QF-039,WB-040,formal_security_review,security_legal_privacy,metadata_fields_to_fill,security_review_owner,metadata_field,human-reviewed metadata value,True,True,True,True,True,ready_for_apply,False,False,False
QF-040,WB-041,formal_security_review,security_legal_privacy,metadata_fields_to_fill,report_reference,metadata_field,human-reviewed metadata value,True,True,True,True,True,ready_for_apply,False,False,False
QF-041,WB-042,formal_security_review,security_legal_privacy,metadata_fields_to_fill,decision_summary,metadata_field,human-reviewed metadata value,True,True,True,True,True,ready_for_apply,False,False,False
QF-042,WB-043,production_restore_policy,data_operations,metadata_fields_to_fill,human_reviewer_name,metadata_field,human-reviewed metadata value,True,True,True,True,True,ready_for_apply,False,False,False
QF-043,WB-044,production_restore_policy,data_operations,metadata_fields_to_fill,review_date,metadata_field,human-reviewed metadata value,True,True,True,True,True,ready_for_apply,False,False,False
QF-044,WB-045,production_restore_policy,data_operations,metadata_fields_to_fill,data_operations_owner,metadata_field,human-reviewed metadata value,True,True,True,True,True,ready_for_apply,False,False,False
QF-045,WB-046,production_restore_policy,data_operations,metadata_fields_to_fill,security_owner,metadata_field,human-reviewed metadata value,True,True,True,True,True,ready_for_apply,False,False,False
QF-046,WB-047,production_restore_policy,data_operations,metadata_fields_to_fill,privacy_legal_owner,metadata_field,human-reviewed metadata value,True,True,True,True,True,ready_for_apply,False,False,False
QF-047,WB-048,production_restore_policy,data_operations,metadata_fields_to_fill,incident_response_owner,metadata_field,human-reviewed metadata value,True,True,True,True,True,ready_for_apply,False,False,False
QF-048,WB-049,production_restore_policy,data_operations,metadata_fields_to_fill,decision_summary,metadata_field,human-reviewed metadata value,True,True,True,True,True,ready_for_apply,False,False,False
QF-049,WB-050,production_restore_policy,data_operations,policy_evidence_keys_to_review,backup_retention_policy_approved,evidence_review_key,human evidence review outcome,True,True,True,True,True,ready_for_apply,False,False,False
QF-050,WB-051,production_restore_policy,data_operations,policy_evidence_keys_to_review,credential_secret_exclusion_reviewed,evidence_review_key,human evidence review outcome,True,True,True,True,True,ready_for_apply,False,False,False
QF-051,WB-052,production_restore_policy,data_operations,policy_evidence_keys_to_review,customer_notification_boundary_approved,evidence_review_key,human evidence review outcome,True,True,True,True,True,ready_for_apply,False,False,False
QF-052,WB-053,production_restore_policy,data_operations,policy_evidence_keys_to_review,incident_response_handoff_approved,evidence_review_key,human evidence review outcome,True,True,True,True,True,ready_for_apply,False,False,False
QF-053,WB-054,production_restore_policy,data_operations,policy_evidence_keys_to_review,production_restore_policy_approved,evidence_review_key,human evidence review outcome,True,True,True,True,True,ready_for_apply,False,False,False
QF-054,WB-055,production_restore_policy,data_operations,policy_evidence_keys_to_review,tenant_restore_boundary_approved,evidence_review_key,human evidence review outcome,True,True,True,True,True,ready_for_apply,False,False,False
QF-055,WB-056,production_monitoring,operations_engineering,metadata_fields_to_fill,human_reviewer_name,metadata_field,human-reviewed metadata value,True,True,True,True,True,ready_for_apply,False,False,False
QF-056,WB-057,production_monitoring,operations_engineering,metadata_fields_to_fill,review_date,metadata_field,human-reviewed metadata value,True,True,True,True,True,ready_for_apply,False,False,False
QF-057,WB-058,production_monitoring,operations_engineering,metadata_fields_to_fill,monitoring_owner,metadata_field,human-reviewed metadata value,True,True,True,True,True,ready_for_apply,False,False,False
QF-058,WB-059,production_monitoring,operations_engineering,metadata_fields_to_fill,operations_reviewer_name,metadata_field,human-reviewed metadata value,True,True,True,True,True,ready_for_apply,False,False,False
QF-059,WB-060,production_monitoring,operations_engineering,metadata_fields_to_fill,decision_summary,metadata_field,human-reviewed metadata value,True,True,True,True,True,ready_for_apply,False,False,False
QF-060,WB-061,production_monitoring,operations_engineering,monitoring_evidence_keys_to_review,log_retention_reviewed,evidence_review_key,human evidence review outcome,True,True,True,True,True,ready_for_apply,False,False,False
QF-061,WB-062,production_monitoring,operations_engineering,monitoring_evidence_keys_to_review,metrics_coverage_approved,evidence_review_key,human evidence review outcome,True,True,True,True,True,ready_for_apply,False,False,False
QF-062,WB-063,production_monitoring,operations_engineering,monitoring_evidence_keys_to_review,monitoring_dry_run_recorded,evidence_review_key,human evidence review outcome,True,True,True,True,True,ready_for_apply,False,False,False
QF-063,WB-064,production_monitoring,operations_engineering,monitoring_evidence_keys_to_review,production_monitoring_plan_approved,evidence_review_key,human evidence review outcome,True,True,True,True,True,ready_for_apply,False,False,False
QF-064,WB-065,production_monitoring,operations_engineering,monitoring_evidence_keys_to_review,slo_dashboard_defined,evidence_review_key,human evidence review outcome,True,True,True,True,True,ready_for_apply,False,False,False
