quick_fill_row_id,workbook_row_id,blocker_id,input_group,input_key,value_present,unsafe_patterns,benign_warning_patterns,unresolved_warning_patterns,row_status
QF-030,WB-031,formal_security_review,formal_security_review_keys_to_review,auth_and_tenant_boundary_reviewed,True,,,,safe_preview_value
QF-031,WB-032,formal_security_review,formal_security_review_keys_to_review,dependency_review_completed,True,,,,safe_preview_value
QF-032,WB-033,formal_security_review,formal_security_review_keys_to_review,formal_security_review_report,True,,,,safe_preview_value
QF-033,WB-034,formal_security_review,formal_security_review_keys_to_review,private_core_non_exposure_review_completed,True,,,,safe_preview_value
QF-034,WB-035,formal_security_review,formal_security_review_keys_to_review,public_shell_threat_model_reviewed,True,,,,safe_preview_value
QF-035,WB-036,formal_security_review,formal_security_review_keys_to_review,review_findings_triaged,True,,,,safe_preview_value
QF-036,WB-037,formal_security_review,formal_security_review_keys_to_review,storage_backup_and_restore_reviewed,True,,,,safe_preview_value
QF-037,WB-038,formal_security_review,metadata_fields_to_fill,human_reviewer_name,True,,,,safe_preview_value
QF-038,WB-039,formal_security_review,metadata_fields_to_fill,review_date,True,,,,safe_preview_value
QF-039,WB-040,formal_security_review,metadata_fields_to_fill,security_review_owner,True,,,,safe_preview_value
QF-040,WB-041,formal_security_review,metadata_fields_to_fill,report_reference,True,,,,safe_preview_value
QF-041,WB-042,formal_security_review,metadata_fields_to_fill,decision_summary,True,,,,safe_preview_value
QF-042,WB-043,production_restore_policy,metadata_fields_to_fill,human_reviewer_name,True,,,,safe_preview_value
QF-043,WB-044,production_restore_policy,metadata_fields_to_fill,review_date,True,,,,safe_preview_value
QF-044,WB-045,production_restore_policy,metadata_fields_to_fill,data_operations_owner,True,,,,safe_preview_value
QF-045,WB-046,production_restore_policy,metadata_fields_to_fill,security_owner,True,,,,safe_preview_value
QF-046,WB-047,production_restore_policy,metadata_fields_to_fill,privacy_legal_owner,True,,,,safe_preview_value
QF-047,WB-048,production_restore_policy,metadata_fields_to_fill,incident_response_owner,True,,,,safe_preview_value
QF-048,WB-049,production_restore_policy,metadata_fields_to_fill,decision_summary,True,,,,safe_preview_value
QF-049,WB-050,production_restore_policy,policy_evidence_keys_to_review,backup_retention_policy_approved,True,,,,safe_preview_value
QF-050,WB-051,production_restore_policy,policy_evidence_keys_to_review,credential_secret_exclusion_reviewed,True,,,,safe_preview_value
QF-051,WB-052,production_restore_policy,policy_evidence_keys_to_review,customer_notification_boundary_approved,True,,,,safe_preview_value
QF-052,WB-053,production_restore_policy,policy_evidence_keys_to_review,incident_response_handoff_approved,True,,,,safe_preview_value
QF-053,WB-054,production_restore_policy,policy_evidence_keys_to_review,production_restore_policy_approved,True,,,,safe_preview_value
QF-054,WB-055,production_restore_policy,policy_evidence_keys_to_review,tenant_restore_boundary_approved,True,,,,safe_preview_value
QF-055,WB-056,production_monitoring,metadata_fields_to_fill,human_reviewer_name,True,,,,safe_preview_value
QF-056,WB-057,production_monitoring,metadata_fields_to_fill,review_date,True,,,,safe_preview_value
QF-057,WB-058,production_monitoring,metadata_fields_to_fill,monitoring_owner,True,,,,safe_preview_value
QF-058,WB-059,production_monitoring,metadata_fields_to_fill,operations_reviewer_name,True,,,,safe_preview_value
QF-059,WB-060,production_monitoring,metadata_fields_to_fill,decision_summary,True,,,,safe_preview_value
QF-060,WB-061,production_monitoring,monitoring_evidence_keys_to_review,log_retention_reviewed,True,,,,safe_preview_value
QF-061,WB-062,production_monitoring,monitoring_evidence_keys_to_review,metrics_coverage_approved,True,,,,safe_preview_value
QF-062,WB-063,production_monitoring,monitoring_evidence_keys_to_review,monitoring_dry_run_recorded,True,,,,safe_preview_value
QF-063,WB-064,production_monitoring,monitoring_evidence_keys_to_review,production_monitoring_plan_approved,True,,,,safe_preview_value
QF-064,WB-065,production_monitoring,monitoring_evidence_keys_to_review,slo_dashboard_defined,True,,,,safe_preview_value
