workbook_row_id,blocker_id,human_filled_input_target,template_path,target_json_pointer,pointer_resolved,resolution_status,value_transferred,template_written
WB-026,pricing_page,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,/evidence_review/human_approved_pricing_page_copy,True,resolved,False,False
WB-027,pricing_page,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,/evidence_review/approved_plan_and_usage_terms,True,resolved,False,False
WB-028,pricing_page,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,/evidence_review/legal_review_completed,True,resolved,False,False
WB-029,pricing_page,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,/evidence_review/production_readiness_non_claim_reviewed,True,resolved,False,False
WB-030,pricing_page,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/billing_revenue_evidence/pricing_page_evidence_input.template.json,/evidence_review/pricing_page_publication_approval_recorded,True,resolved,False,False
WB-031,formal_security_review,phase_b_product/commercial_readiness/privacy_security_legal_evidence/formal_security_review_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/privacy_security_legal_evidence/formal_security_review_evidence_input.template.json,/evidence_review/auth_and_tenant_boundary_reviewed,True,resolved,False,False
WB-032,formal_security_review,phase_b_product/commercial_readiness/privacy_security_legal_evidence/formal_security_review_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/privacy_security_legal_evidence/formal_security_review_evidence_input.template.json,/evidence_review/dependency_review_completed,True,resolved,False,False
WB-033,formal_security_review,phase_b_product/commercial_readiness/privacy_security_legal_evidence/formal_security_review_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/privacy_security_legal_evidence/formal_security_review_evidence_input.template.json,/evidence_review/formal_security_review_report,True,resolved,False,False
WB-034,formal_security_review,phase_b_product/commercial_readiness/privacy_security_legal_evidence/formal_security_review_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/privacy_security_legal_evidence/formal_security_review_evidence_input.template.json,/evidence_review/private_core_non_exposure_review_completed,True,resolved,False,False
WB-035,formal_security_review,phase_b_product/commercial_readiness/privacy_security_legal_evidence/formal_security_review_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/privacy_security_legal_evidence/formal_security_review_evidence_input.template.json,/evidence_review/public_shell_threat_model_reviewed,True,resolved,False,False
WB-036,formal_security_review,phase_b_product/commercial_readiness/privacy_security_legal_evidence/formal_security_review_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/privacy_security_legal_evidence/formal_security_review_evidence_input.template.json,/evidence_review/review_findings_triaged,True,resolved,False,False
WB-037,formal_security_review,phase_b_product/commercial_readiness/privacy_security_legal_evidence/formal_security_review_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/privacy_security_legal_evidence/formal_security_review_evidence_input.template.json,/evidence_review/storage_backup_and_restore_reviewed,True,resolved,False,False
WB-038,formal_security_review,phase_b_product/commercial_readiness/privacy_security_legal_evidence/formal_security_review_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/privacy_security_legal_evidence/formal_security_review_evidence_input.template.json,/human_reviewer_name,True,resolved,False,False
WB-039,formal_security_review,phase_b_product/commercial_readiness/privacy_security_legal_evidence/formal_security_review_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/privacy_security_legal_evidence/formal_security_review_evidence_input.template.json,/review_date,True,resolved,False,False
WB-040,formal_security_review,phase_b_product/commercial_readiness/privacy_security_legal_evidence/formal_security_review_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/privacy_security_legal_evidence/formal_security_review_evidence_input.template.json,/security_review_owner,True,resolved,False,False
WB-041,formal_security_review,phase_b_product/commercial_readiness/privacy_security_legal_evidence/formal_security_review_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/privacy_security_legal_evidence/formal_security_review_evidence_input.template.json,/report_reference,True,resolved,False,False
WB-042,formal_security_review,phase_b_product/commercial_readiness/privacy_security_legal_evidence/formal_security_review_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/privacy_security_legal_evidence/formal_security_review_evidence_input.template.json,/decision_summary,True,resolved,False,False
WB-043,production_restore_policy,phase_b_product/commercial_readiness/data_operations_evidence/production_restore_policy_approval_input.human_filled.local.json,phase_b_product/commercial_readiness/data_operations_evidence/production_restore_policy_approval_input.template.json,/human_reviewer_name,True,resolved,False,False
WB-044,production_restore_policy,phase_b_product/commercial_readiness/data_operations_evidence/production_restore_policy_approval_input.human_filled.local.json,phase_b_product/commercial_readiness/data_operations_evidence/production_restore_policy_approval_input.template.json,/review_date,True,resolved,False,False
WB-045,production_restore_policy,phase_b_product/commercial_readiness/data_operations_evidence/production_restore_policy_approval_input.human_filled.local.json,phase_b_product/commercial_readiness/data_operations_evidence/production_restore_policy_approval_input.template.json,/data_operations_owner,True,resolved,False,False
WB-046,production_restore_policy,phase_b_product/commercial_readiness/data_operations_evidence/production_restore_policy_approval_input.human_filled.local.json,phase_b_product/commercial_readiness/data_operations_evidence/production_restore_policy_approval_input.template.json,/security_owner,True,resolved,False,False
WB-047,production_restore_policy,phase_b_product/commercial_readiness/data_operations_evidence/production_restore_policy_approval_input.human_filled.local.json,phase_b_product/commercial_readiness/data_operations_evidence/production_restore_policy_approval_input.template.json,/privacy_legal_owner,True,resolved,False,False
WB-048,production_restore_policy,phase_b_product/commercial_readiness/data_operations_evidence/production_restore_policy_approval_input.human_filled.local.json,phase_b_product/commercial_readiness/data_operations_evidence/production_restore_policy_approval_input.template.json,/incident_response_owner,True,resolved,False,False
WB-049,production_restore_policy,phase_b_product/commercial_readiness/data_operations_evidence/production_restore_policy_approval_input.human_filled.local.json,phase_b_product/commercial_readiness/data_operations_evidence/production_restore_policy_approval_input.template.json,/decision_summary,True,resolved,False,False
WB-050,production_restore_policy,phase_b_product/commercial_readiness/data_operations_evidence/production_restore_policy_approval_input.human_filled.local.json,phase_b_product/commercial_readiness/data_operations_evidence/production_restore_policy_approval_input.template.json,/policy_evidence_review/backup_retention_policy_approved,True,resolved,False,False
WB-051,production_restore_policy,phase_b_product/commercial_readiness/data_operations_evidence/production_restore_policy_approval_input.human_filled.local.json,phase_b_product/commercial_readiness/data_operations_evidence/production_restore_policy_approval_input.template.json,/policy_evidence_review/credential_secret_exclusion_reviewed,True,resolved,False,False
WB-052,production_restore_policy,phase_b_product/commercial_readiness/data_operations_evidence/production_restore_policy_approval_input.human_filled.local.json,phase_b_product/commercial_readiness/data_operations_evidence/production_restore_policy_approval_input.template.json,/policy_evidence_review/customer_notification_boundary_approved,True,resolved,False,False
WB-053,production_restore_policy,phase_b_product/commercial_readiness/data_operations_evidence/production_restore_policy_approval_input.human_filled.local.json,phase_b_product/commercial_readiness/data_operations_evidence/production_restore_policy_approval_input.template.json,/policy_evidence_review/incident_response_handoff_approved,True,resolved,False,False
WB-054,production_restore_policy,phase_b_product/commercial_readiness/data_operations_evidence/production_restore_policy_approval_input.human_filled.local.json,phase_b_product/commercial_readiness/data_operations_evidence/production_restore_policy_approval_input.template.json,/policy_evidence_review/production_restore_policy_approved,True,resolved,False,False
WB-055,production_restore_policy,phase_b_product/commercial_readiness/data_operations_evidence/production_restore_policy_approval_input.human_filled.local.json,phase_b_product/commercial_readiness/data_operations_evidence/production_restore_policy_approval_input.template.json,/policy_evidence_review/tenant_restore_boundary_approved,True,resolved,False,False
WB-056,production_monitoring,phase_b_product/commercial_readiness/operations_evidence/production_monitoring_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/operations_evidence/production_monitoring_evidence_input.template.json,/human_reviewer_name,True,resolved,False,False
WB-057,production_monitoring,phase_b_product/commercial_readiness/operations_evidence/production_monitoring_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/operations_evidence/production_monitoring_evidence_input.template.json,/review_date,True,resolved,False,False
WB-058,production_monitoring,phase_b_product/commercial_readiness/operations_evidence/production_monitoring_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/operations_evidence/production_monitoring_evidence_input.template.json,/monitoring_owner,True,resolved,False,False
WB-059,production_monitoring,phase_b_product/commercial_readiness/operations_evidence/production_monitoring_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/operations_evidence/production_monitoring_evidence_input.template.json,/operations_reviewer_name,True,resolved,False,False
WB-060,production_monitoring,phase_b_product/commercial_readiness/operations_evidence/production_monitoring_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/operations_evidence/production_monitoring_evidence_input.template.json,/decision_summary,True,resolved,False,False
WB-061,production_monitoring,phase_b_product/commercial_readiness/operations_evidence/production_monitoring_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/operations_evidence/production_monitoring_evidence_input.template.json,/evidence_review/log_retention_reviewed,True,resolved,False,False
WB-062,production_monitoring,phase_b_product/commercial_readiness/operations_evidence/production_monitoring_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/operations_evidence/production_monitoring_evidence_input.template.json,/evidence_review/metrics_coverage_approved,True,resolved,False,False
WB-063,production_monitoring,phase_b_product/commercial_readiness/operations_evidence/production_monitoring_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/operations_evidence/production_monitoring_evidence_input.template.json,/evidence_review/monitoring_dry_run_recorded,True,resolved,False,False
WB-064,production_monitoring,phase_b_product/commercial_readiness/operations_evidence/production_monitoring_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/operations_evidence/production_monitoring_evidence_input.template.json,/evidence_review/production_monitoring_plan_approved,True,resolved,False,False
WB-065,production_monitoring,phase_b_product/commercial_readiness/operations_evidence/production_monitoring_evidence_input.human_filled.local.json,phase_b_product/commercial_readiness/operations_evidence/production_monitoring_evidence_input.template.json,/evidence_review/slo_dashboard_defined,True,resolved,False,False
