quick_fill_row_id,queue_item_id,workbook_row_id,blocker_id,owner_review_lane,input_group,input_key,input_kind,value_present,note_present,value_length,note_length,quality_status,issue_codes,target_workbook_csv,target_workbook_column,target_json_pointer
QF-017,HIQ-017,WB-018,pricing_page,commercial_finance_legal,metadata_fields_to_fill,review_date,metadata_field,True,True,10,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/review_date
QF-018,HIQ-018,WB-019,pricing_page,commercial_finance_legal,metadata_fields_to_fill,commercial_owner,metadata_field,True,True,2,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/commercial_owner
QF-019,HIQ-019,WB-020,pricing_page,commercial_finance_legal,metadata_fields_to_fill,product_owner,metadata_field,True,True,2,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/product_owner
QF-020,HIQ-020,WB-021,pricing_page,commercial_finance_legal,metadata_fields_to_fill,accounting_owner,metadata_field,True,True,20,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/accounting_owner
QF-021,HIQ-021,WB-022,pricing_page,commercial_finance_legal,metadata_fields_to_fill,legal_owner,metadata_field,True,True,20,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/legal_owner
QF-022,HIQ-022,WB-023,pricing_page,commercial_finance_legal,metadata_fields_to_fill,billing_owner,metadata_field,True,True,20,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/billing_owner
QF-023,HIQ-023,WB-024,pricing_page,commercial_finance_legal,metadata_fields_to_fill,review_record_reference,metadata_field,True,True,55,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/review_record_reference
QF-024,HIQ-024,WB-025,pricing_page,commercial_finance_legal,metadata_fields_to_fill,decision_summary,metadata_field,True,True,46,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/decision_summary
QF-025,HIQ-025,WB-026,pricing_page,commercial_finance_legal,pricing_page_keys_to_review,human_approved_pricing_page_copy,evidence_review_key,True,True,27,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/evidence_review/human_approved_pricing_page_copy
QF-026,HIQ-026,WB-027,pricing_page,commercial_finance_legal,pricing_page_keys_to_review,approved_plan_and_usage_terms,evidence_review_key,True,True,25,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/evidence_review/approved_plan_and_usage_terms
QF-027,HIQ-027,WB-028,pricing_page,commercial_finance_legal,pricing_page_keys_to_review,legal_review_completed,evidence_review_key,True,True,11,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/evidence_review/legal_review_completed
QF-028,HIQ-028,WB-029,pricing_page,commercial_finance_legal,pricing_page_keys_to_review,production_readiness_non_claim_reviewed,evidence_review_key,True,True,30,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/evidence_review/production_readiness_non_claim_reviewed
QF-029,HIQ-029,WB-030,pricing_page,commercial_finance_legal,pricing_page_keys_to_review,pricing_page_publication_approval_recorded,evidence_review_key,True,True,27,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/evidence_review/pricing_page_publication_approval_recorded
QF-030,HIQ-030,WB-031,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,auth_and_tenant_boundary_reviewed,evidence_review_key,True,True,27,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/evidence_review/auth_and_tenant_boundary_reviewed
QF-031,HIQ-031,WB-032,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,dependency_review_completed,evidence_review_key,True,True,13,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/evidence_review/dependency_review_completed
QF-032,HIQ-032,WB-033,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,formal_security_review_report,evidence_review_key,True,True,16,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/evidence_review/formal_security_review_report
QF-033,HIQ-033,WB-034,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,private_core_non_exposure_review_completed,evidence_review_key,True,True,35,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/evidence_review/private_core_non_exposure_review_completed
QF-034,HIQ-034,WB-035,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,public_shell_threat_model_reviewed,evidence_review_key,True,True,26,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/evidence_review/public_shell_threat_model_reviewed
QF-035,HIQ-035,WB-036,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,review_findings_triaged,evidence_review_key,True,True,23,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/evidence_review/review_findings_triaged
QF-036,HIQ-036,WB-037,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,storage_backup_and_restore_reviewed,evidence_review_key,True,True,28,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/evidence_review/storage_backup_and_restore_reviewed
QF-037,HIQ-037,WB-038,formal_security_review,security_legal_privacy,metadata_fields_to_fill,human_reviewer_name,metadata_field,True,True,2,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/human_reviewer_name
QF-038,HIQ-038,WB-039,formal_security_review,security_legal_privacy,metadata_fields_to_fill,review_date,metadata_field,True,True,10,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/review_date
QF-039,HIQ-039,WB-040,formal_security_review,security_legal_privacy,metadata_fields_to_fill,security_review_owner,metadata_field,True,True,25,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/security_review_owner
QF-040,HIQ-040,WB-041,formal_security_review,security_legal_privacy,metadata_fields_to_fill,report_reference,metadata_field,True,True,17,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/report_reference
QF-041,HIQ-041,WB-042,formal_security_review,security_legal_privacy,metadata_fields_to_fill,decision_summary,metadata_field,True,True,55,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/decision_summary
QF-042,HIQ-042,WB-043,production_restore_policy,data_operations,metadata_fields_to_fill,human_reviewer_name,metadata_field,True,True,2,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/human_reviewer_name
QF-043,HIQ-043,WB-044,production_restore_policy,data_operations,metadata_fields_to_fill,review_date,metadata_field,True,True,10,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/review_date
QF-044,HIQ-044,WB-045,production_restore_policy,data_operations,metadata_fields_to_fill,data_operations_owner,metadata_field,True,True,23,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/data_operations_owner
QF-045,HIQ-045,WB-046,production_restore_policy,data_operations,metadata_fields_to_fill,security_owner,metadata_field,True,True,12,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/security_owner
QF-046,HIQ-046,WB-047,production_restore_policy,data_operations,metadata_fields_to_fill,privacy_legal_owner,metadata_field,True,True,15,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/privacy_legal_owner
QF-047,HIQ-047,WB-048,production_restore_policy,data_operations,metadata_fields_to_fill,incident_response_owner,metadata_field,True,True,14,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/incident_response_owner
QF-048,HIQ-048,WB-049,production_restore_policy,data_operations,metadata_fields_to_fill,decision_summary,metadata_field,True,True,55,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/decision_summary
QF-049,HIQ-049,WB-050,production_restore_policy,data_operations,policy_evidence_keys_to_review,backup_retention_policy_approved,evidence_review_key,True,True,16,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/policy_evidence_review/backup_retention_policy_approved
QF-050,HIQ-050,WB-051,production_restore_policy,data_operations,policy_evidence_keys_to_review,credential_secret_exclusion_reviewed,evidence_review_key,True,True,37,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/policy_evidence_review/credential_secret_exclusion_reviewed
QF-051,HIQ-051,WB-052,production_restore_policy,data_operations,policy_evidence_keys_to_review,customer_notification_boundary_approved,evidence_review_key,True,True,22,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/policy_evidence_review/customer_notification_boundary_approved
QF-052,HIQ-052,WB-053,production_restore_policy,data_operations,policy_evidence_keys_to_review,incident_response_handoff_approved,evidence_review_key,True,True,13,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/policy_evidence_review/incident_response_handoff_approved
QF-053,HIQ-053,WB-054,production_restore_policy,data_operations,policy_evidence_keys_to_review,production_restore_policy_approved,evidence_review_key,True,True,13,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/policy_evidence_review/production_restore_policy_approved
QF-054,HIQ-054,WB-055,production_restore_policy,data_operations,policy_evidence_keys_to_review,tenant_restore_boundary_approved,evidence_review_key,True,True,29,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/policy_evidence_review/tenant_restore_boundary_approved
QF-055,HIQ-055,WB-056,production_monitoring,operations_engineering,metadata_fields_to_fill,human_reviewer_name,metadata_field,True,True,2,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/human_reviewer_name
QF-056,HIQ-056,WB-057,production_monitoring,operations_engineering,metadata_fields_to_fill,review_date,metadata_field,True,True,10,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/review_date
QF-057,HIQ-057,WB-058,production_monitoring,operations_engineering,metadata_fields_to_fill,monitoring_owner,metadata_field,True,True,21,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/monitoring_owner
QF-058,HIQ-058,WB-059,production_monitoring,operations_engineering,metadata_fields_to_fill,operations_reviewer_name,metadata_field,True,True,23,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/operations_reviewer_name
QF-059,HIQ-059,WB-060,production_monitoring,operations_engineering,metadata_fields_to_fill,decision_summary,metadata_field,True,True,42,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/decision_summary
QF-060,HIQ-060,WB-061,production_monitoring,operations_engineering,monitoring_evidence_keys_to_review,log_retention_reviewed,evidence_review_key,True,True,16,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/evidence_review/log_retention_reviewed
QF-061,HIQ-061,WB-062,production_monitoring,operations_engineering,monitoring_evidence_keys_to_review,metrics_coverage_approved,evidence_review_key,True,True,13,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/evidence_review/metrics_coverage_approved
QF-062,HIQ-062,WB-063,production_monitoring,operations_engineering,monitoring_evidence_keys_to_review,monitoring_dry_run_recorded,evidence_review_key,True,True,37,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/evidence_review/monitoring_dry_run_recorded
QF-063,HIQ-063,WB-064,production_monitoring,operations_engineering,monitoring_evidence_keys_to_review,production_monitoring_plan_approved,evidence_review_key,True,True,13,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/evidence_review/production_monitoring_plan_approved
QF-064,HIQ-064,WB-065,production_monitoring,operations_engineering,monitoring_evidence_keys_to_review,slo_dashboard_defined,evidence_review_key,True,True,14,120,quality_pass_pending_safety_preflight,,phase_b_product/commercial_readiness/commercial_next_evidence_sprint/commercial_sprint_human_input_workbook.csv,human_value_placeholder,/evidence_review/slo_dashboard_defined
