quick_fill_row_id,queue_item_id,workbook_row_id,blocker_id,owner_review_lane,input_group,input_key,value_present,note_present,unsafe_pattern_count,warning_pattern_count,unsafe_patterns,warning_patterns,row_status
QF-020,HIQ-020,WB-021,pricing_page,commercial_finance_legal,metadata_fields_to_fill,accounting_owner,True,True,0,0,,,safe_or_blank
QF-021,HIQ-021,WB-022,pricing_page,commercial_finance_legal,metadata_fields_to_fill,legal_owner,True,True,0,0,,,safe_or_blank
QF-022,HIQ-022,WB-023,pricing_page,commercial_finance_legal,metadata_fields_to_fill,billing_owner,True,True,0,0,,,safe_or_blank
QF-023,HIQ-023,WB-024,pricing_page,commercial_finance_legal,metadata_fields_to_fill,review_record_reference,True,True,0,0,,,safe_or_blank
QF-024,HIQ-024,WB-025,pricing_page,commercial_finance_legal,metadata_fields_to_fill,decision_summary,True,True,0,0,,,safe_or_blank
QF-025,HIQ-025,WB-026,pricing_page,commercial_finance_legal,pricing_page_keys_to_review,human_approved_pricing_page_copy,True,True,0,0,,,safe_or_blank
QF-026,HIQ-026,WB-027,pricing_page,commercial_finance_legal,pricing_page_keys_to_review,approved_plan_and_usage_terms,True,True,0,0,,,safe_or_blank
QF-027,HIQ-027,WB-028,pricing_page,commercial_finance_legal,pricing_page_keys_to_review,legal_review_completed,True,True,0,0,,,safe_or_blank
QF-028,HIQ-028,WB-029,pricing_page,commercial_finance_legal,pricing_page_keys_to_review,production_readiness_non_claim_reviewed,True,True,0,0,,,safe_or_blank
QF-029,HIQ-029,WB-030,pricing_page,commercial_finance_legal,pricing_page_keys_to_review,pricing_page_publication_approval_recorded,True,True,0,0,,,safe_or_blank
QF-030,HIQ-030,WB-031,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,auth_and_tenant_boundary_reviewed,True,True,0,0,,,safe_or_blank
QF-031,HIQ-031,WB-032,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,dependency_review_completed,True,True,0,0,,,safe_or_blank
QF-032,HIQ-032,WB-033,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,formal_security_review_report,True,True,0,0,,,safe_or_blank
QF-033,HIQ-033,WB-034,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,private_core_non_exposure_review_completed,True,True,0,0,,,safe_or_blank
QF-034,HIQ-034,WB-035,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,public_shell_threat_model_reviewed,True,True,0,0,,,safe_or_blank
QF-035,HIQ-035,WB-036,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,review_findings_triaged,True,True,0,0,,,safe_or_blank
QF-036,HIQ-036,WB-037,formal_security_review,security_legal_privacy,formal_security_review_keys_to_review,storage_backup_and_restore_reviewed,True,True,0,0,,,safe_or_blank
QF-037,HIQ-037,WB-038,formal_security_review,security_legal_privacy,metadata_fields_to_fill,human_reviewer_name,True,True,0,0,,,safe_or_blank
QF-038,HIQ-038,WB-039,formal_security_review,security_legal_privacy,metadata_fields_to_fill,review_date,True,True,0,0,,,safe_or_blank
QF-039,HIQ-039,WB-040,formal_security_review,security_legal_privacy,metadata_fields_to_fill,security_review_owner,True,True,0,0,,,safe_or_blank
QF-040,HIQ-040,WB-041,formal_security_review,security_legal_privacy,metadata_fields_to_fill,report_reference,True,True,0,0,,,safe_or_blank
QF-041,HIQ-041,WB-042,formal_security_review,security_legal_privacy,metadata_fields_to_fill,decision_summary,True,True,0,0,,,safe_or_blank
QF-042,HIQ-042,WB-043,production_restore_policy,data_operations,metadata_fields_to_fill,human_reviewer_name,True,True,0,0,,,safe_or_blank
QF-043,HIQ-043,WB-044,production_restore_policy,data_operations,metadata_fields_to_fill,review_date,True,True,0,0,,,safe_or_blank
QF-044,HIQ-044,WB-045,production_restore_policy,data_operations,metadata_fields_to_fill,data_operations_owner,True,True,0,0,,,safe_or_blank
QF-045,HIQ-045,WB-046,production_restore_policy,data_operations,metadata_fields_to_fill,security_owner,True,True,0,0,,,safe_or_blank
QF-046,HIQ-046,WB-047,production_restore_policy,data_operations,metadata_fields_to_fill,privacy_legal_owner,True,True,0,0,,,safe_or_blank
QF-047,HIQ-047,WB-048,production_restore_policy,data_operations,metadata_fields_to_fill,incident_response_owner,True,True,0,0,,,safe_or_blank
QF-048,HIQ-048,WB-049,production_restore_policy,data_operations,metadata_fields_to_fill,decision_summary,True,True,0,0,,,safe_or_blank
QF-049,HIQ-049,WB-050,production_restore_policy,data_operations,policy_evidence_keys_to_review,backup_retention_policy_approved,True,True,0,0,,,safe_or_blank
QF-050,HIQ-050,WB-051,production_restore_policy,data_operations,policy_evidence_keys_to_review,credential_secret_exclusion_reviewed,True,True,0,0,,,safe_or_blank
QF-051,HIQ-051,WB-052,production_restore_policy,data_operations,policy_evidence_keys_to_review,customer_notification_boundary_approved,True,True,0,0,,,safe_or_blank
QF-052,HIQ-052,WB-053,production_restore_policy,data_operations,policy_evidence_keys_to_review,incident_response_handoff_approved,True,True,0,0,,,safe_or_blank
QF-053,HIQ-053,WB-054,production_restore_policy,data_operations,policy_evidence_keys_to_review,production_restore_policy_approved,True,True,0,0,,,safe_or_blank
QF-054,HIQ-054,WB-055,production_restore_policy,data_operations,policy_evidence_keys_to_review,tenant_restore_boundary_approved,True,True,0,0,,,safe_or_blank
QF-055,HIQ-055,WB-056,production_monitoring,operations_engineering,metadata_fields_to_fill,human_reviewer_name,True,True,0,0,,,safe_or_blank
QF-056,HIQ-056,WB-057,production_monitoring,operations_engineering,metadata_fields_to_fill,review_date,True,True,0,0,,,safe_or_blank
QF-057,HIQ-057,WB-058,production_monitoring,operations_engineering,metadata_fields_to_fill,monitoring_owner,True,True,0,0,,,safe_or_blank
QF-058,HIQ-058,WB-059,production_monitoring,operations_engineering,metadata_fields_to_fill,operations_reviewer_name,True,True,0,0,,,safe_or_blank
QF-059,HIQ-059,WB-060,production_monitoring,operations_engineering,metadata_fields_to_fill,decision_summary,True,True,0,0,,,safe_or_blank
QF-060,HIQ-060,WB-061,production_monitoring,operations_engineering,monitoring_evidence_keys_to_review,log_retention_reviewed,True,True,0,0,,,safe_or_blank
QF-061,HIQ-061,WB-062,production_monitoring,operations_engineering,monitoring_evidence_keys_to_review,metrics_coverage_approved,True,True,0,0,,,safe_or_blank
QF-062,HIQ-062,WB-063,production_monitoring,operations_engineering,monitoring_evidence_keys_to_review,monitoring_dry_run_recorded,True,True,0,0,,,safe_or_blank
QF-063,HIQ-063,WB-064,production_monitoring,operations_engineering,monitoring_evidence_keys_to_review,production_monitoring_plan_approved,True,True,0,0,,,safe_or_blank
QF-064,HIQ-064,WB-065,production_monitoring,operations_engineering,monitoring_evidence_keys_to_review,slo_dashboard_defined,True,True,0,0,,,safe_or_blank
